original_path,original_filename,domain,disposition,target_area,syntax,lines,sha256,top_imports
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2.py,_crop_st2.py,download,ARCHIVE,src/coastline/download,ok,168,2f2604d57fb719f6550211512ba44a5dfc0eb8dc017c6972167d89dd68bb10dc,_tools;datetime;ee;geopandas;math;os;pandas;time
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_B11_localcheck.py,_crop_st2_B11_localcheck.py,download,ARCHIVE,src/coastline/download,ok,373,e4aa2af5adab7f82125484047b40bad0cbfcd6757f23b565f7e7f7f06e013023,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_B11_v20260312.py,_crop_st2_B11_v20260312.py,download,ARCHIVE,src/coastline/download,ok,571,f1c0eb03dcd39917f4a6cf70dd72f3f2ff2e1cdfc0aeda470470bcd88d7feee6,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_B234_11_v20260312.py,_crop_st2_B234_11_v20260312.py,download,ARCHIVE,src/coastline/download,ok,574,ebb894268181fd5eab5d13ec9c9759d20bf95525869f8ccb64adff8a6102f0ae,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_B8_12_localcheck.py,_crop_st2_B8_12_localcheck.py,download,ARCHIVE,src/coastline/download,ok,465,784a25038a7b54d69d39d3c44e13997d733e87aebc12857301837aa7913ac06b,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_B8_12_v20260312.py,_crop_st2_B8_12_v20260312.py,download,ARCHIVE,src/coastline/download,ok,577,f16126ea1f473c15db0124394b2f08387b7278e622dbe0c9ea8439d0f50d8f35,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_rgb.py,_crop_st2_rgb.py,download,ARCHIVE,src/coastline/download,ok,292,6cd8ad37de411888de24da63eeea31778a8a21d46679487b833bdb4e72996066,_tools;datetime;ee;geopandas;math;os;pandas;time
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_crop_st2_rgb_B11_localcheck.py,_crop_st2_rgb_B11_localcheck.py,download,ARCHIVE,src/coastline/download,ok,462,8a77b5e989da2651fce6330e900e657b444c657dc76e3485fbcbf92ee6615926,__future__;_tools;datetime;ee;math;os;shutil;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\_tools.py,_tools.py,download,ARCHIVE,src/coastline/download,ok,127,a5dce513d23e6b16c1a915ee846bef38b43e6a4f551d7cc65cf31c2a737365fb,dbfread;math;os
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\archive\_crop_st2_rgb_B11_gdrivecheck.py,_crop_st2_rgb_B11_gdrivecheck.py,download,ARCHIVE,src/coastline/download,ok,265,3c4a50409b1fa8705dc3a57571de21fda74ea56901d0557d2611a81760be1dad,_tools;datetime;ee;geopandas;math;os;pandas;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\run_sentinel2_downloads.py,run_sentinel2_downloads.py,download,ARCHIVE,src/coastline/download,ok,287,02a7433bd1272552b315468c55fb30e039c7b0574553d371d2a4a11b15137ef6,datetime;importlib;os;subprocess;sys;time;typing
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\遥感影像的基本信息验证\拆分TIF波段.py,拆分TIF波段.py,download,ARCHIVE,src/coastline/download,ok,68,44d89f7cd511f6da15d058a8d10ef3e13ccb5422b56ae7ae6dca1fe0013ef451,os;rasterio
E:\_OrderingProject\G_CoastlineClassification\Python\archive\遥感影像下载\遥感影像的基本信息验证\验证遥感影像的波段等基本信息.py,验证遥感影像的波段等基本信息.py,download,ARCHIVE,src/coastline/download,ok,79,671ac0c323bd9a037829bd3a700bd1f02d20607c29da36669c8bedb1b397a6ff,numpy;rasterio
E:\_OrderingProject\G_CoastlineClassification\Python\draft.py,draft.py,utils,ARCHIVE,src/coastline/utils,ok,151,6f8c8b3ee6eaaf315901ee66438ee2932763915595396ddfd57e262829da5cc6,numpy;os;rasterio
E:\_OrderingProject\G_CoastlineClassification\Python\qgis\dem_SRTM_download.py,dem_SRTM_download.py,download,REWRITE,src/coastline/download,ok,48,9886bd815498c31a83f898fd7c8fea8fd810e1d7fd1c999eaab88ff73d634abb,os;qgis;requests
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\archive\download_tiff_files.py,download_tiff_files.py,utils,ARCHIVE,src/coastline/utils,ok,85,24d0027644b9f4a037b11ec0b78851c41210cc9cefd1b2c7a8247832ef5a0e71,geopandas;os;requests
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\archive\extract_tiff_names.py,extract_tiff_names.py,utils,ARCHIVE,src/coastline/utils,ok,31,b9c3ad2ab4d40026bb287f4a725d4f978932c9446fe9edafc7a6b71641f50fa7,geopandas;os
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\archive\intersect_geojson.py,intersect_geojson.py,utils,ARCHIVE,src/coastline/utils,ok,36,34e322d1791ed76d3fd32c51e821d1e678206d5d0e03fcb9e78c87f357054706,geopandas;os
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\archive\merge_tiff.py,merge_tiff.py,utils,ARCHIVE,src/coastline/utils,ok,154,2382f48e853463f8977bad659c99ba6d1b22fbf70466bb6bee3c89a8cb107129,numpy;os;rasterio
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\check_boundary.py,check_boundary.py,utils,REWRITE,src/coastline/utils,ok,45,f9455097447d35d66b189b739dd51fded693476934db8e35426adcddf17ff5a9,geopandas;os
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\csv_.py,csv_.py,utils,REWRITE,src/coastline/utils,ok,33,ebf78b64f67d9b57d512d211a1b3f693123ffd3341fbf1ec8f11d6c767340248,pandas
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\download_insert_tiff.py,download_insert_tiff.py,utils,REWRITE,src/coastline/utils,ok,362,01578399366a5ba1316852d92ec8cd6c0cdbb3d71d70232b3039c2156f9e8609,geopandas;os;pandas;re;requests;time;tqdm
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\aef_download\draft2.py,draft2.py,utils,ARCHIVE,src/coastline/utils,ok,244,6ec737e8ae7032035a16a7ce65f029658e67afcb8633ea06ad5f3703b1c4d483,geopandas;os;pandas;re;requests;time;urllib
E:\_OrderingProject\G_CoastlineClassification\Python\scripts\batch_verification\mv_vgg16.py,mv_vgg16.py,inference,REWRITE,src/coastline/inference,ok,69,99eb90f96ccd202b448ce67d41d1b3c1983cc6f387a7830e06f61f4579cdadbc,mv_vgg16_v1;os;sys
